transaction,address,bedroom,living_room,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date,id
sales,Wembley Park,1.0,,1.0,250000.0,,,1 bedroom flat for sale,,Park,NaN,omt,https://www.onthemarket.com/details/13227906/,2023-05-19,sales1.01.0250000.0nanWembley Park
sales,"Hanover Terrace, Regents Park, London, NW1",6.0,,8.0,29000000.0,,,"United Kingdom Sotheby’s International Realty are pleased to present this six bedroom home situated in Regents Park, London, An Ambassadorial Grade l Listed family home with spectacular views facing onto the swan and boating lake within Regents Park, this property was designed by...",,NW1,"'s International Realty, London",rightmove,https://www.rightmove.co.uk/properties/119281460#/?channel=RES_BUY,2022-01-28 00:00:00,"sales6.08.029000000.0nanHanover Terrace, Regents Park, London, NW1"
rent,"York Road, London, E10",5.0,,2.0,,,,"We are proud to offer this delightful 5 bedroom, 2 bathroom terraced house in a great location. Available to move in from 19 May 2023. Property is offered furnished. Viewing highly recommended.... ** Property Reference: 1683489 **",,E10,"OpenRent, London",rightmove,https://www.rightmove.co.uk/properties/133806272#/?channel=RES_LET,2023-05-19 00:00:00,"rent5.02.0nan5417.0York Road, London, E10"
sales,"Acre Lane, Brixton",2.0,,1.0,600000.0,,,2 bedroom flat for sale,,Brixton,NaN,omt,https://www.onthemarket.com/details/13228830/,2023-05-19,"sales2.01.0600000.0nanAcre Lane, Brixton"
rent,"Essex Road, Islington N1",3.0,1.0,1.0,,,,"This superbly located three double bedroom split level apartment is moments from Angel underground station and the fantastic selection of shops, ...",,N1,Charles Henry Peppiatt Ltd,zoopla,https://www.zoopla.co.uk/to-rent/details/64672857/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent3.01.0nan3250.0Essex Road, Islington N1"
sales,"Tramway Avenue, London N9",2.0,,1.0,375000.0,,,2 bedroom terraced house for sale,,N9,NaN,omt,https://www.onthemarket.com/details/13229075/,2023-05-19,"sales2.01.0375000.0nanTramway Avenue, London N9"
sales,"Princes Gate, Knightsbridge, SW7",7.0,,5.0,30000000.0,,,7 Bedroom house in one of Knightsbridge's most exclusive streets,,SW7,"Nest Seekers International, London",rightmove,https://www.rightmove.co.uk/properties/130713020#/?channel=RES_BUY,2023-01-13 00:00:00,"sales7.05.030000000.0nanPrinces Gate, Knightsbridge, SW7"
sales,"Roan Street, London SE10",2.0,1.0,2.0,750000.0,,,"Guide Price £750,000-£775,000. We are delighted to offer this larger than average two bedroom period house that is beautifully presented to a high ...",,SE10,Winkworth - Greenwich,zoopla,https://www.zoopla.co.uk/for-sale/details/64672594/?search_identifier=e2f52ecac4296f7263ce1d9f3bd364400246cf2a24ee664b466896f27c160137,2023-05-19 00:00:00,"sales2.02.0750000.0nanRoan Street, London SE10"
rent,"Mayday Road, Thornton Heath CR7",2.0,,1.0,,,,2 bedroom flat to rent,,CR7,NaN,omt,https://www.onthemarket.com/details/13231798/,2023-05-19,"rent2.01.0nan2100.0Mayday Road, Thornton Heath CR7"
rent,"Browning Way, Hounslow TW5",,,1.0,,,,Studio to rent,,TW5,NaN,omt,https://www.onthemarket.com/details/13215123/,< 7 days,"rentnan1.0nan750.0Browning Way, Hounslow TW5"
sales,"Merton Lane, London, N6",6.0,,7.0,32000000.0,,,"United Kingdom Sotheby’s International Realty are pleased to present this exceptional six bedroom contemporary mansion in Highgate. Located on a sought-after road in the heart of Highgate and occupying a two-acre site, the bespoke family home with accommodation predominantly arra...",,N6,"'s International Realty, London",rightmove,https://www.rightmove.co.uk/properties/83624538#/?channel=RES_BUY,2023-02-21 00:00:00,"sales6.07.032000000.0nanMerton Lane, London, N6"
rent,"Manor Farm Drive, Chingford, E4",4.0,,3.0,,,,"This absolutely stunning high spec four bedroom, three bathroom family house is newly refurbished throughout with modern quality fixtures and fittings throughout. This hugely impressive property has a fully open plan and very spacious ground floor which includes a stunning designer fitte...",,E4,"Charles Henry Peppiatt Ltd, Southgate",rightmove,https://www.rightmove.co.uk/properties/134312843#/?channel=RES_LET,2023-05-19 00:00:00,"rent4.03.0nan3987.0Manor Farm Drive, Chingford, E4"
sales,"Piccadilly, Mayfair, London, W1J",,,,35000000.0,,,"A rare opportunity to regenerate an impressive period building with development potential and residential planning permission in place. 139 Piccadilly is a Grade II listed building arranged over six floors, dating back to the mid-18th century. This grand, former townhouse offers over 14,000 sq f...",,W1J,"Knight Frank, Mayfair",rightmove,https://www.rightmove.co.uk/properties/134089559#/?channel=RES_BUY,2023-04-25 00:00:00,"salesnannan35000000.0nanPiccadilly, Mayfair, London, W1J"
rent,"Cambridge Rd, Kingston Upon Thames, London KT1",1.0,,1.0,,,,Material Information Council Tax Band :C,,KT1,B & K Estates,zoopla,https://www.zoopla.co.uk/to-rent/details/64672914/?search_identifier=e29133bd9e33b6e9fd2e1ebde51741c0b3e350a8f4b13ddf07b33e77b503a8b7,2023-05-19 00:00:00,"rent1.01.0nan1600.0Cambridge Rd, Kingston Upon Thames, London KT1"
rent,"Flat 2, Refectory Apartments, 3 Lawrence Yard, London, N15",2.0,,1.0,,,,"Ellis & Co are delighted to offer on the market this bright & airy first floor, 2 bedroom modern apartment.",,N15,"Ellis & Co, Tottenham",rightmove,https://www.rightmove.co.uk/properties/135045284#/?channel=RES_LET,2023-05-19 00:00:00,"rent2.01.0nan1500.0Flat 2, Refectory Apartments, 3 Lawrence Yard, London, N15"
sales,"Elmwood Road, Herne Hill",2.0,,1.0,625000.0,,,2 bedroom flat for sale,,Hill,NaN,omt,https://www.onthemarket.com/details/13228044/,2023-05-19,"sales2.01.0625000.0nanElmwood Road, Herne Hill"
sales,"Royal Westminster, London",7.0,,5.0,35000000.0,,,"A very rare find this luxurious circa 11000 SQF house in the heart of Westminster. Features 7 bedroom suites 5 reception rooms Gym Lift Swimming pool, jacuzzi Terrace with stunning views of Houses of Parliament For more information get in touch.",,London,"Luxury Living Homes International, London",rightmove,https://www.rightmove.co.uk/properties/134449994#/?channel=RES_BUY,2023-04-05 00:00:00,"sales7.05.035000000.0nanRoyal Westminster, London"
rent,"Mount View Road, London N4",,,1.0,,,,Studio to rent,,N4,NaN,omt,https://www.onthemarket.com/details/13231685/,2023-05-19,"rentnan1.0nan1437.0Mount View Road, London N4"
rent,"Albert Road, St. Mary Cray BR5",3.0,,1.0,,,,3 bedroom flat to rent,,BR5,NaN,omt,https://www.onthemarket.com/details/13231796/,2023-05-19,"rent3.01.0nan1800.0Albert Road, St. Mary Cray BR5"
