transaction,address,bedroom,bathroom,sales_price,rent_perMonth,rent_perWeek,description,propertyType,location,agent,listing_source,listing_url,listed_date
sales,"Mayfair Freehold House, Park Lane Area, W1K",1,1,45000000,,,"This stunning 12 bedroom (including 3 staff bedrooms), 18 bathrooms Mayfair mansion. The mansion includes 5 large living rooms, 2 kitchens, 2 kitchenettes, library, gym, garden/terrace, 4 dressing rooms and a lovely roof terrace all spread across 6 floors. The approximate size of the property is ...",House,W1K,"Luxury Living Homes International, London",rightmove,https://www.rightmove.co.uk/properties/130306529#/?channel=RES_BUY,31/12/2022
sales,"Lygon Place, Belgravia, SW1W",7,9,45000000,,,"Ref. LOB0798 - Set behind a gated Belgravia driveway, Lygon Place is a magnificent Grade II listed 13,935 sq.ft mansion, with connecting mews house, was designed by David Collins Studio. With bespoke interiors, the seven bedroom mansion is the largest house on Lygon Place, and comprises four g...",House,SW1W,"Beauchamp Estates Ltd, Mayfair - Resale",rightmove,https://www.rightmove.co.uk/properties/129302918#/?channel=RES_BUY,21/11/2022
sales,"Pitt Street, Kensington, W8",6,5,44000000,,,Ref. LOB0625 - This striking and unique house was designed and constructed by Spink Partners as a private commission for the current owner and is contemporary in style and over 60ft wide. This was one of Spink's flagship schemes within Central London and the resulting family home is flo...,House,W8,"Beauchamp Estates Ltd, Mayfair - Resale",rightmove,https://www.rightmove.co.uk/properties/131856722#/?channel=RES_BUY,21/02/2023
sales,"Pitt Street, London, W8",7,5,44000000,,,"A rare opportunity to own this unique, contemporary mansion in Kensington.",Detached,W8,"Savills, Kensington",rightmove,https://www.rightmove.co.uk/properties/131846453#/?channel=RES_BUY,20/02/2023
sales,"Belgravia Gate, Grosvenor Crescent, Belgravia, London, SW1X",6,7,43700000,,,"Belgravia Gate benefits from a truly world-class location and is one of the most desirable addresses in Europe. A 2nd-floor lateral apartment providing grand entertaining space and 6-bedrooms. Located on the second floor of Belgravia Gate on Grosvenor Crescent the apartment forms part of five, G...",Not Specified,SW1X,"Knight Frank - New Homes, Prime Central London Developments",rightmove,https://www.rightmove.co.uk/properties/134329280#/?channel=RES_BUY,02/05/2023
sales,"Brick Street, Mayfair, London, W1J",7,5,35000000,,,A majestic and luxurious Grade II listed building in the heart of Mayfair.,Terraced,W1J,"Savills, Mayfair",rightmove,https://www.rightmove.co.uk/properties/131927141#/?channel=RES_BUY,22/02/2023
sales,"Piccadilly, Mayfair, London, W1J",,,35000000,,,"A rare opportunity to regenerate an impressive period building with development potential and residential planning permission in place. 139 Piccadilly is a Grade II listed building arranged over six floors, dating back to the mid-18th century. This grand, former townhouse offers over 14,000 sq f...",Terraced,W1J,"Knight Frank, Mayfair",rightmove,https://www.rightmove.co.uk/properties/134089559#/?channel=RES_BUY,25/04/2023
sales,"South Street, Mayfair W1K",6,6,35000000,,,"Considered to be the archetypical London mansion, this exceptional Mayfair mansion sits in the heart of central London. In excess of 8,300 sq ft, the sensitive modernisation of the six-bedroom townhouse included the creation of a wellness suite on the lower ground floor, complete with swimming pool.",House,W1K,"Rokstone, London",rightmove,https://www.rightmove.co.uk/properties/132423944#/?channel=RES_BUY,09/03/2023
sales,"South Street, London",5,6,35000000,,,"An elegant stone-dressed, red-brick, five-storey grade II listed mansion house. Double-fronted Edwardian facade with arts & crafts style detailing and french-inspired fine iron railings. Home to politicians and celebrities.",Terraced,London,"Wetherell, Mayfair",rightmove,https://www.rightmove.co.uk/properties/128150369#/?channel=RES_BUY,18/10/2022
sales,"Brick Street, Mayfair, London, W1J",7,7,35000000,,,"Luxurious Grade II listed house with private gated drive-in courtyard, underground parking, swimming pool and separate staff accommodation, for sale in the heart of Mayfair, W1J In the heart of exclusive Mayfair, this majestic and luxurious Grade II listed property provides unique lateral living...",Detached,W1J,"Knight Frank, Mayfair",rightmove,https://www.rightmove.co.uk/properties/127390289#/?channel=RES_BUY,24/09/2022
sales,"Royal Westminster, London",7,5,35000000,,,"A very rare find this luxurious circa 11000 SQF house in the heart of Westminster. Features 7 bedroom suites 5 reception rooms Gym Lift Swimming pool, jacuzzi Terrace with stunning views of Houses of Parliament For more information get in touch.",Detached,London,"Luxury Living Homes International, London",rightmove,https://www.rightmove.co.uk/properties/134449994#/?channel=RES_BUY,04/05/2023
sales,"Brick Street, Mayfair W1J",7,7,35000000,,,"A truly exeptional low- built 7 bedroom mansion, with private gated drive-in courtyard tucked away in the heart of Mayfair. Offering over 12,960 sq ft of unique lateral luxury living.",House,W1J,"Rokstone, London",rightmove,https://www.rightmove.co.uk/properties/131929205#/?channel=RES_BUY,22/02/2023
sales,"Merton Lane, London, N6",6,7,32000000,,,"United Kingdom Sotheby’s International Realty are pleased to present this exceptional six bedroom contemporary mansion in Highgate. Located on a sought-after road in the heart of Highgate and occupying a two-acre site, the bespoke family home with accommodation predominantly arra...",Detached,N6,"'s International Realty, London",rightmove,https://www.rightmove.co.uk/properties/83624538#/?channel=RES_BUY,21/02/2023
sales,"Princes Gate, Kensington, London, SW7",7,5,30000000,,,"An elegant fronted house providing over 9,000 sq.ft. of stylish and luxurious rooms. This property is in immaculate and pristine condition, offering spacious rooms over its seven floors, with the benefit of a lift serving all the main floors. Currently, the lower ground floor consists of a recept...",House,SW7,"Parkes Estate Agents, Kensington",rightmove,https://www.rightmove.co.uk/properties/134155481#/?channel=RES_BUY,17/10/2022
sales,"One Hyde Park, Knightsbridge",3,3,30000000,,,"The Cloister are pleased to present this stunning three bedroom apartment located in Knightsbridge, One Hyde Park, a prestigious and much sought-after location.",Apartment,Knightsbridge,"The Cloister, London",rightmove,https://www.rightmove.co.uk/properties/134381060#/?channel=RES_BUY,22/12/2022
sales,"Princes Gate, Knightsbridge, SW7",7,5,30000000,,,7 Bedroom house in one of Knightsbridge's most exclusive streets,House,SW7,"Nest Seekers International, London",rightmove,https://www.rightmove.co.uk/properties/130713020#/?channel=RES_BUY,13/01/2023
sales,"Hanover Terrace, Regents Park, London, NW1",6,8,29000000,,,"United Kingdom Sotheby’s International Realty are pleased to present this six bedroom home situated in Regents Park, London, An Ambassadorial Grade l Listed family home with spectacular views facing onto the swan and boating lake within Regents Park, this property was designed by...",End of Terrace,NW1,"'s International Realty, London",rightmove,https://www.rightmove.co.uk/properties/119281460#/?channel=RES_BUY,28/01/2022
sales,"Chapel Street, Belgravia SW1X",6,5,28000000,,,"A magnificent, exceptionally well presented six bedroom freehold town house situated in the heart of Belgravia, moments away from Knightsbridge.",Town House,SW1X,"Rokstone, London",rightmove,https://www.rightmove.co.uk/properties/126734519#/?channel=RES_BUY,25/10/2019
sales,"Curzon Street, London, W1J",1,1,27800000,,,Incredible investment opportunity to acquire four state of the art apartments in the heart of Mayfair,Block of Apartments,W1J,"DDRE.global, London",rightmove,https://www.rightmove.co.uk/properties/131770103#/?channel=RES_BUY,17/02/2023
sales,"Marylebone High Street, London, W1U",3,3,27000000,,,The most eagerly awaited residential development to be formed in Marylebone over recent decades. Nestled in the absolute epicentre of Marylebone Village only a stone's throw from the much-lauded and admired Marylebone High Street Quarter.,Penthouse,W1U,"Luxury Living Homes International, London",rightmove,https://www.rightmove.co.uk/properties/132097715#/?channel=RES_BUY,28/02/2023
sales,"Culross Street, Mayfair",6,6,26950000,,,"A newly constructed, wide, low-build freehold house with 6 bedrooms, garden, lift and swimming pool located just off Park lane.",House,Mayfair,"Rokstone, London",rightmove,https://www.rightmove.co.uk/properties/131730257#/?channel=RES_BUY,15/02/2023
sales,"Culross Street, Mayfair, London, W1K",6,6,26950000,,,"An outstanding 6 bedroom freehold house by K10 Group, with swimming pool and entertainment room, for sale in Mayfair W1K. A newly constructed Mayfair house, a project by K10 Group, of 8,060 sq ft, is situated in an enviable location just off Park Lane. Finished to a high specification, with luxu...",Terraced,W1K,"Knight Frank, Mayfair",rightmove,https://www.rightmove.co.uk/properties/85469181#/?channel=RES_BUY,11/10/2022
sales,Culross House,5,6,26950000,,,"A newly constructed Mayfair Mansion, designed by K10 Group, of 8,060 sq ft, situated in an enviable location just off Park Lane.",House,House,"London House, London",rightmove,https://www.rightmove.co.uk/properties/132612542#/?channel=RES_BUY,15/03/2023
